	Id	Veld1	Veld2	Veld3	Veld4	Veld5	Veld6	Veld7	Veld8	Veld9	Veld10	Veld11	Veld12	Veld13	Veld14	Veld15	Veld16	Veld17	Veld18	Veld19	Veld20	Veld21	Veld22	Veld23	Veld24	Veld25	Veld26	Veld27	Veld28	Veld29	Veld30	Veld31	Veld32	Veld33	Veld34	Veld35	Veld36	Veld37	Veld38	Veld39	Veld40	Veld41	Veld42	Veld43	Veld44	Veld45	Veld46	Veld47	Veld48	Veld49	Veld50	IDPersoon
0	2		Borman	de		2.0	Jean Ferdinand Alexandre	ja	jonkheer			15.0	2.0	1768.0	nee	Maaseik	6.0	2.0	1844.0		Bree	adelspredikaat: 1816	2			2		1	89	18.0	3.0	1816	1.0	7.0	1818			benoemd 20-2-1816	2					1.0	80 (1989) 636							
1	3		Capitaine				Jan Frans	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1818			benoemd 20-2-1816	2													
2	4		Coenegracht				Christiaan	nee				29.0	6.0	1755.0	nee	Maastricht	18.0	8.0	1818.0	nee	Maastricht		2			2		1	89	18.0	3.0	1816	18.0	8.0	1818			benoemd 20-2-1816	2									3.0	X, 185			
3	5		Corten			2.0	Fredericus Leonardus	nee				24.0	11.0	1743.0	nee	Amstenrade	15.0	10.0	1822.0	nee	Beek (L.)		2			2		1	89	18.0	3.0	1816	1.0	7.0	1818			benoemd 20-2-1816	2					2.0	44 (1958) 109						Corten van Oensel	
4	6		Cox van Hommelen	de			Frederic Godefroid Gaspar	ja	jonkheer			19.0	2.0	1753.0	nee	Hasselt	2.0	1.0	1823.0	nee	Runxt	adelspredikaat: 1816	2			2		1	89	18.0	3.0	1816	1.0	7.0	1819			benoemd 20-2-1816	2					1.0	81 (1990/1991) 500							
5	7		Favereau	de			G.	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1818			benoemd 20-2-1816	2													
6	8		Heldewier				Charles	nee							nee					nee		mogelijk 7-3-1780 Maastricht - 16-4-1820 Heerlen (NP 56 (1970) 26); ook NL 42 (1924) 338	2			2		1	89	18.0	3.0	1816			1818			benoemd 20-2-1816; ontslag	2													
7	9		Limpens	de			Leo	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1818			benoemd 20-2-1816	2													
8	10		Magnée			2.0	Marcellus Josephus	nee				13.0	4.0	1756.0	nee	Luik	3.0	12.0	1829.0	nee	Roermond		2			2		1	89	18.0	3.0	1816	1.0	7.0	1819			benoemd 20-2-1816	2					2.0	66 (1982) 208							
9	11		Montaigne	de			Jean Jacques	nee							nee					nee		de zoon	2			2		1	89	18.0	3.0	1816	1.0	7.0	1819			benoemd 20-2-1816	2													
10	12		Roemers			2.0	Charles Clément	nee				31.0	1.0	1748.0	nee	Maastricht	25.0	12.0	1838.0	nee	Meerssen		2			2		1	89	18.0	3.0	1816	1.0	7.0	1820			benoemd 20-2-1816	2									3.0	IX, 875			
11	13		Roosen				J.	nee							nee					nee		sr.	2			2		1	89	18.0	3.0	1816	1.0	7.0	1818			benoemd 20-2-1816	2													
12	14		Wouters				E.F.	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1819			benoemd 20-2-1816	2												Wouters van Beringen	
13	15		Wulff van Terlinden				Werner Josef F.	nee							nee					nee			2			2		1	89	18.0	3.0	1816	9.0	5.0	1818			benoemd 20-2-1816; ontslag	2													
14	16		Veugen				Eustache Servais	nee							nee					nee			2			2		1	89	19.0	4.0	1816	1.0	7.0	1818			benoemd 20-2-1816	2													
15	17		Schiervel	de			Pierre Léonard Louis Marie	nee				10.0	2.0	1783.0	nee	s-Gravenvoeren	4.0	11.0	1866.0	nee	Rothem		2			2		1	89	5.0	8.0	1816	1.0	7.0	1819			benoemd 3-7-1816	2					5.0	51 (1897) 2134						Schiervel d'Altembrouck	
16	18		Spineux				Jan Lambert Hendrik	nee							nee					nee			2			2		1	89			1819			1835			zijn verkiezing in 1829 werd aanvankelijk ongeldig verklaard en eerst op 6-7-1830 goedgekeurd	2		212.0											
17	19		Colpin				Jacob Gery Josef	nee							nee					nee			2			2		1	89			1819	1.0	7.0	1829				2		214.0											
18	20		Matthijs	de			Jean Henri Leon	nee							nee					nee			2			2		1	89	7.0	7.0	1829			1835				2		214.0											
19	21		Heusch	de	9.0		Nicolaus Bonaventura	ja				17.0	10.0	1782.0	nee	Wijer	23.0	6.0	1862.0	nee	Donk (Belg. Limb.)	adelstitel: 1816	2			2		1	89			1822	1.0	7.0	1829				2		213.0			1.0	85 (1995) 159						De Heusch de Bombrouck	
20	22		Raymaeckers				Lambert	nee							nee					nee			2			2		1	89	6.0	7.0	1830			1835			zijn verkiezing in 1829 werd nietig verklaard, daarna werd hij herkozen	2		213.0											
21	23		Wadeleux				Ph.J. Alexander	nee							nee					nee			2			2		1	89	4.0	7.0	1820	1.0	7.0	1826				2		215.0											
22	24		Pitteurs-Hiegaerts	de			Charles Lambert Balthasar	nee				17.0	9.0	1797.0	nee		9.0	7.0	1863.0	nee	Brussel		2			2		1	89	7.0	7.0	1829			1835				2		216.0			5.0	27 (1873) 245							
23	25		Godding				Andries Jan Josef Theodoor	nee							nee					nee			2			2		1	89	6.0	7.0	1819	1.0	7.0	1829				2		217.0											
24	26		Destouvelles				Charles	nee							nee					nee			2			2		1	89	3.0	7.0	1821			1833				2		200.0											
25	27		Danner	de			Jan Frans Xavier Willibrord Lodewijk	nee							nee					nee			2			2		1	89	7.0	7.0	1818	1.0	7.0	1824				2		32.0											
26	28		Ruijs de Beerenbrouck				Albert Thomas Joseph Marie	ja	jonkheer			21.0	12.0	1799.0	nee	Kleef	22.0	1.0	1836.0	nee	Brussel	adelspredikaat: 1816; ook NP 19 (1930) 172	2			2		1	89	5.0	7.0	1825	1.0	7.0	1826			lid geworden als plaatsvervanger van K.E.M. Ruys, die ontslag neemt	2		207.0			1.0	43 (1950) 402							
27	29		Vullers				Adriaan Willem	nee							nee					nee			2			2		1	89			1826			1831				2		207.0											
28	30		Kips				Jean Michel Norbert	nee							nee					nee			2			2		1	89	4.0	7.0	1820	1.0	7.0	1822			gekozen in 1819 als plaatsvervanger van Jean Briers van der Straeten, die niet aannam	2		218.0											
29	31		Corswarem	de			Albert	nee							nee					nee			2			2		1	89			1822	1.0	7.0	1829				2		218.0			5.0	4 (1850) 222							
30	32		Vliegen				Hendrik	nee							nee					nee			2			2		1	89	7.0	7.0	1829			1835				2		218.0											
31	33		Haffmans				Jean Arnoud Antoine	nee						1759.0	nee	Gelder	16.0	2.0	1823.0	nee	Horst		2			2		1	89	4.0	7.0	1820	16.0	2.0	1823				2		208.0							3.0	VIII, 663			
32	34		Muysen	van			André Christiaan Denis	nee							nee					nee			2			2		1	89	7.0	7.0	1818			1833				2		219.0											
33	35		Hermans				Peter Joseph	nee							nee					nee			2			2		1	89	7.0	7.0	1818	1.0	12.0	1829			ontslag	2		220.0											
34	36		Wilmar				Jacob Antoon	nee							nee					nee			2			2		1	89	10.0	12.0	1822	1.0	7.0	1824			lid geworden als plaatsvervanger de de overleden F.L. Corten van Oensel	2		201.0											
35	37		Lemmens				Jan Renier	nee							nee					nee			2			2		1	89	1.0	7.0	1828			1833			in 1827 gekozen, maar de geldigheid van de keuze werd betwijfeld	2		203.0											
36	38		Broeck	van den			Joan Joseph Leonard	nee							nee					nee			2			2		1	89	4.0	7.0	1820	1.0	7.0	1823				2		204.0											
37	39		Schoor	van den			Jacobus Norbertus	nee				11.0	2.0	1758.0	nee	Heijthuizen			1830.0	ja	Thorn		2			2		1	89	7.0	7.0	1818	1.0	7.0	1823				2		206.0							3.0	IX, 997			
38	40		Gelders				Nicolas Albertus Felix	nee							nee					nee			2			2		1	89	8.0	7.0	1823			1831				2		206.0											
39	41		Schoenmaeckers				Martinus Jacobus	nee							nee					nee			2			2		1	89	7.0	7.0	1818			1833				2		202.0											
40	42		Jans				Jan	nee							nee				1828.0	nee			2			2		1	89	5.0	7.0	1825			1828				2		221.0											
41	43		Cécil	de	9.0		Julien Laurent Joseph	ja				9.0	1.0	1795.0	nee	Hasselt	28.0	3.0	1865.0	nee	Wimmertinge	adelstitel: 1824	2			2		1	89	7.0	7.0	1829			1835				2		221.0			5.0	29 (1875) 99							
42	44		Hesselt van Dinter				Willem Jacob	ja	jonkheer			9.0	6.0	1754.0	nee	s-Hertogenbosch	15.0	4.0	1819.0	nee	Maastricht	adelspredikaat: 1816	2			2		1	89	18.0	3.0	1816	1.0	7.0	1818			benoemd 20-2-1816	1					1.0	85  (1995) 108							
43	45		Olne	d'	9.0		Antoinius Josephus	ja				28.0	3.0	1755.0	nee	Baarlo	2.0	9.0	1823.0	nee	Baarlo	adelstitel: 1816	2			2		1	89	18.0	3.0	1816	1.0	7.0	1820			benoemd 20-2-1816	1					1.0	89 (2000/2001) 235							
44	46		Pollart	de			Johannes Antonius Franciscus	ja	jonkheer			3.0	2.0	1755.0	nee	Roermond	1.0	8.0	1838.0	nee	Roermond	adelspredikaat: 1816	2			2		1	89	22.0	3.0	1816	1.0	7.0	1825			benoemd 20-2-1816	1					1.0	90 (2002/2003) 69							
45	47		Renesse	de	7.0		François Charles Louis Antoine	ja				11.0	4.0	1784.0	nee	Elderen	2.0	2.0	1825.0	nee	Tongeren	adelstitel: 1816	2			2		1	89	18.0	3.0	1816	1.0	7.0	1819			benoemd 20-2-1816	1					5.0	50 (1896) 1967							
46	48		Riedesel d'Eisenbach	von	9.0		Carl Philip Ferdinand Hermann	ja				25.0	11.0	1775.0	nee	Brunswijk	21.0	12.0	1853.0	nee	Ohé en Laak	adelspredikaat: 1816/S112adelstitel: 1819	2			2		1	89	18.0	3.0	1816	1.0	7.0	1819			benoemd 20-2-1816	1					1.0	43 (1950) 299							
47	49		Thier	de	9.0		Ignace Frédéric Nicolas Florentin	ja				6.0	6.0	1767.0	nee	Luik	19.0	1.0	1848.0	nee	Kanne	adelstitel: 1816	2			2		1	89	18.0	3.0	1816			1835			benoemd 20-2-1816	1					5.0	39 (1885) 276							
48	50		Clermont	de			Charles Theodore Arnold	ja	jonkheer						nee					nee		adelspredikaat: 1814	2			2		1	89	8.0	4.0	1816	1.0	7.0	1819			benoemd 20-2-1816	1												Clermont de Vaelshoek	
49	51		Arazola de Onate		9.0		Jean Nepomucene	ja				7.0	6.0	1784.0	nee	Meldert	16.0	6.0	1861.0	nee	Meldert	adelstitel: 1816	2			2		1	89	5.0	8.0	1816	1.0	7.0	1829			benoemd 3-7-1816	1					1.0	79 (1988) 613						Arazola Déonata	
50	52		Menten de Horne	de	10.0		Bonaventure Jean Marie	ja				25.0	2.0	1779.0	nee	Sint Truiden	24.0	1.0	1823.0	nee	Sint Truiden	adelstitel: 1816	2			2		1	89	5.0	8.0	1816	1.0	7.0	1818			benoemd 3-7-1816	1					1.0	88 (1999) 517							
51	53		Negri	de	9.0		Fredericus Ferdinandus Henricus Josephus	ja				14.0	12.0	1768.0	nee	Brunssum	15.0	3.0	1833.0	nee	Brunssum	adelstitel: 1816	2			2		1	89	5.0	8.0	1816	1.0	7.0	1821			benoemd 3-7-1816	1					1.0	89 (2000/2001) 63							
52	54		Plevits de Roosteren	de	10.0		Jean Paul	ja				11.0	2.0	1754.0	nee	Maaseik	10.0	2.0	1822.0	nee	Roosteren	adelstitel: 1816	2			2		1	89	5.0	8.0	1816	10.0	2.0	1822			benoemd 3-7-1816	1					1.0	89 (2000/2001) 519							
53	55		Rosen van der Maesen	de	9.0		Charles Lambert Marie Dieudonné	ja				19.0	6.0	1787.0	nee	Luik	2.0	1.0	1858.0	nee	Tongeren	adelstitel: 1816	2			2		1	89	5.0	8.0	1816			1831			benoemd 3-7-1816	1					1.0	43 (1950) 358						De Rosen van der Maesen	
54	56		Waha de Baillonville	de	9.0		Eugène Augustin	ja				14.0	6.0	1769.0	nee	Anthisnes	10.0	3.0	1821.0	nee	Sint Truiden	adelstitel: 1816	2			2		1	89	5.0	8.0	1816	1.0	7.0	1820			benoemd 3-7-1816	1					5.0	53 (1899) 2566							
55	57		Erp	van	9.0		Henricus Wilhelmus Antonius	ja				2.0	3.0	1759.0	nee	Didam	18.0	8.0	1820.0	nee	Maasbree	adelstitel: 1816	2			2		1	89			1816	1.0	7.0	1818			benoemd 20-2-1816; waarschijnlijk nooit aanwezig geweest	1					1.0	82 (1992) 262						Van Erp tot Baerlo en Holt	
56	58		Spirlet	de	9.0		Gaspar François Alexis	ja				7.0	12.0	1767.0	nee	Luik	6.0	7.0	1828.0	nee	Luik	adelstitel: 1817	2			2		1	89	10.0	7.0	1818	1.0	7.0	1824				1					5.0	51 (1897) 2206							
57	59		Stockhem	de	9.0		Lambert Gaspar Dieudonné	ja				5.0	11.0	1771.0	nee	Kermpt	12.0	5.0	1825.0	nee	Brussel	adelstitel: 1816	2			2		1	89			1818	12.0	5.0	1825				1					5.0	26 (1872) 250							
58	60		Marchant d'Ansembourg	de	7.0		Jean Baptiste Joseph Ferdinand	ja				25.0	2.0	1782.0	nee	Luik	14.0	5.0	1854.0	nee	Amstenrade	adelstitel: 1814	2			2		1	89			1819			1835				1					1.0	88 (1999) 102							
59	61		Loë-Imstenraedt	de	9.0		Franciscus Carolus Antonius	ja				22.0	6.0	1789.0	nee	Mheer	17.0	6.0	1838.0	nee	Mheer	adelstitel: 1816	2			2		1	89	4.0	7.0	1820			1831			16-10-1830 van Belgische zijde tot gouverneur van Limburg benoemd	1					1.0	87 (1998) 440							
60	62		Quadt-Hüchtenbruck	von	9.0		Carel Hendrik Lodewijk Maurice Herman Sigismund	ja				21.0	9.0	1776.0	nee	Arnhem	10.0	10.0	1852.0	nee	Maastricht	adelstitel: 1817	2			2		1	89	4.0	7.0	1820	1.0	7.0	1826				1					1.0	90 (2002/2003) 160							
61	63		Crassier	de	9.0	2.0	Guilielmus Dominicus Josephus Ludovicus	ja				4.0	8.0	1752.0	nee	Maastricht	30.0	11.0	1847.0	nee	Maastricht	adelstitel: 1817	2			2		1	89			1821			1829			lid geworden als plaatsvervanger van W.D. Kerens de Wolfrath; ontslag	1					1.0	81 (1990/1991) 324							
62	64		Brienen van Guesselt	van			Carl Lodewijk Maria Gregorius Johan Baptista	ja	jonkheer			15.0	6.0	1741.0	nee	Oud-Valkenburg	6.0	2.0	1823.0	nee	Maastricht	adelspredikaat: 1817	2			2		1	89	10.0	12.0	1822			1823			lid geworden als plaatsvervanger van W.G.F. Borchgrave	1					1.0	80 (1989) 528						De Brienen de Guesselt	
63	65		Lenarts d'Ingenop	de			Jean Lambert	ja	jonkheer			5.0	5.0	1773.0	nee	Maastricht	21.0	3.0	1828.0	nee	Maastricht	adelspredikaat: 1816	2			2		1	89			1822	21.0	3.0	1828			lid geworden als plaatsvervanger van J.P. de Plevits de Roosteren, overleden	1					1.0	87 (1998) 147							
64	66		Aefferden	van			Johannes Baptista Alexander Franciscus Josephus	ja	jonkheer			20.0	7.0	1767.0	nee	Venlo	9.0	6.0	1840.0	nee	Roermond		2			2		1	89	8.0	7.0	1823			1833			lid geworden als plaatsvervanger van C.L.M.G.J.B. van Brienen van Guesselt, overleden	1					1.0	79 (1988) 613			3.0	I, 35			
65	67		Liedekerke	de	7.0		Hyacinthe Ferdinand François Joseph	ja				6.0	11.0	1774.0	nee	Celles	7.0	8.0	1852.0	nee	Hannuit	adelspredikaat: 1816	2			2		1	89	6.0	7.0	1824			1833				1					1.0	87 (1998) 661							
66	68		Santheuvel	van den			Adriaan	ja	jonkheer			18.0	10.0	1756.0	nee	G	5.0	4.0	1845.0	nee	Maastricht	adelspredikaat: 1815	2			2		1	89	5.0	7.0	1825	1.0	7.0	1827			lid geworden als plaatsvervanger van L.G.D. de Stockhem, overleden	1					1.0	44 (1951) 51			3.0	VII, 1096			
67	69		Arschot Schoonhoven	van	7.0		Guillaume Ernest	ja				6.0	7.0	1800.0	nee	Voordt	3.0	7.0	1876.0	nee	Ollignies	adelstitel: 1816	2			2		1	89			1826			1835			lid geworden als plaatsvervanger van de in 1825 gekozen Heusch de la Zangrye, die niet aannam	1					5.0	43 (1889) II, 33							
68	70		Woelmont	de	9.0		Louis Alexandre Alphonse	ja				20.0	1.0	1799.0	nee	Namen	7.0	3.0	1856.0	nee	Gors-op-Leeuw	adelspredikaat: 1825.adelstitel: 1827	2			2		1	89			1826			1831				1					5.0	53 (1899) 2636							
69	71		Renesse-Breidbach	de	7.0		Louis Joseph Jean Anne Philippe Victor Rodolphe	ja				1.0	5.0	1797.0	nee	s-Heeren-Elderen	28.0	3.0	1863.0	nee	Brussel	adelstitel: 1816	2			2		1	89			1827			1833				1					5.0	50 (1896) 1969							
70	72		Tiecken de Terhove	de			Rutger Pierre	ja	jonkheer			14.0	1.0	1780.0	nee	Tongeren	22.0	4.0	1860.0	nee	Tongeren	adelspredikaat: 1822	2			2		1	89	7.0	7.0	1829			1835				1					5.0	52 (1898) 166							
71	73		Weichs de Wenne	de	9.0		Kaspar Karl Ferdinand Anton Franz	ja				6.0	4.0	1777.0	nee	Eslohe	25.0	10.0	1850.0	nee	Wanssum	adelspredikaat: 1816/adelstitel: 1842	2			2		1	89	7.0	7.0	1829			1835				1					1.0	46 (1953) 294							
72	74		Corswarem	de			Jean Hubert Joseph Marie	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1819			benoemd 20-2-1816	3		90.0			5.0	4 (1850) 221							
73	75		Cox				Godfried René	nee							nee					nee			2			2		1	89	19.0	4.0	1816	1.0	7.0	1820			benoemd 20-2-1816	3		90.0											
74	76		Claes				W. Louis	nee							nee					nee			2			2		1	89	4.0	7.0	1820	1.0	7.0	1823				3		90.0											
75	77		Teuwens				Petrus Gerardus	nee							nee					nee			2			2		1	89	1.0	7.0	1828			1831				3		90.0											
76	78		Gelders				Jacobus Josephus	nee							nee				1825.0	ja		overlijdensjaar mogelijk 1824	2			2		1	89	18.0	3.0	1816			1825			benoemd 20-2-1816; eindjaar mogelijk 1824	3		222.0											
77	79		Eyckholt				Joannes Henricus	nee							nee	Rotterdam				nee			2			2		1	89	5.0	7.0	1825	1.0	7.0	1827			lid geworden als plaatsvervanger van J.J. Gelders, overleden	3		222.0			8.0	81 (1964) 330							
78	80		Schoolmeesters				Jan Hendrik Frans	nee							nee					nee			2			2		1	89			1827			1833				3		222.0											
79	81		Hees	van			Jan Lodewijk	nee							nee		24.0	1.0	1823.0	nee	Maastricht		2			2		1	89	5.0	8.0	1816	24.0	1.0	1823			benoemd 3-7-1816	3		42.0											
80	82		Rouffaer				Johan	nee				23.0	7.0	1780.0	nee	Maastricht	6.0	1.0	1834.0	nee	Maastricht		2			2		1	89	5.0	8.0	1816	1.0	7.0	1819			benoemd 3-7-1816	3		42.0			2.0	20 (1931) 228							
81	83		Emminghaus	van			F.F.H.A.G.	nee							nee					nee			2			2		1	89	8.0	7.0	1817	1.0	7.0	1820			benoemd 14-11-1816	3		42.0											
82	84		Colen				Willem Dominique Martin	nee							nee					nee			2			2		1	89			1819	1.0	7.0	1822				3		42.0											
83	85		Cruts				Balthasar Josef Willem	nee							nee					nee			2			2		1	89	4.0	7.0	1820	1.0	7.0	1823				3		42.0											
84	86		Mockel				Winand Willem	nee							nee					nee		jr.	2			2		1	89	4.0	7.0	1820	1.0	7.0	1823				3		42.0											
85	87		Pichot				Frederik Auguste	nee							nee					nee			2			2		1	89	3.0	7.0	1821	1.0	7.0	1827				3		42.0											
86	88		Roosen				Eugenius Victor	nee							nee		28.0	10.0	1833.0	nee	Maastricht		2			2		1	89			1823			1831				3		42.0											
87	89		Brants				Jan	nee							nee					nee			2			2		1	89	12.0	7.0	1824			1835			lid geworden als plaatsvervanger van P. Meester, overleden	3		42.0											
88	90		Clout				Henri	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1823			benoemd 20-2-1816	3		47.0											
89	91		Michiels van Kessenich		9.0	2.0	Henricus Josephus	ja				12.0	1.0	1770.0	nee	Eindhoven	2.0	10.0	1825.0	nee	Roermond	chevalier de l'empire: 1813/adelstitel: ridder 1814/baron 1822	2			2		1	89	20.0	3.0	1816	1.0	7.0	1822			benoemd 20-2-1816	3		47.0			1.0	88 (1999) 344			3.0	IX, 676			
90	92		Renne	van der			Gérard Corneille	nee				10.0	6.0	1747.0	nee		2.0	12.0	1818.0	nee	Roermond		2			2		1	89	18.0	3.0	1816	1.0	7.0	1818			benoemd 20-2-1816	3		47.0			5.0	41 (1887) 222							
91	93		Germain				Arnold Mathias Josef	nee							nee		30.0	12.0	1828.0	nee			2			2		1	89			1823	1.0	7.0	1826				3		47.0											
92	94		Meester				Pieter	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1822			benoemd 20-2-1816	3		223.0											
93	95		Vucht	van				nee							nee				1817.0	ja		overlijdensjaar mogelijk 1816	2			2		1	89	5.0	8.0	1816			1817			benoemd 3-7-1816	3		223.0											
94	96		Pitteurs Hiegarts	de			Antoine Joseph Théodore	nee				4.0	12.0	1795.0	nee	Sint Truiden	17.0	11.0	1874.0	nee	Sint Truiden		2			2		1	89			1822			1835				3		223.0			5.0	50 (1896) 1838							
95	97		Waha de Baillonville	de	9.0		François Guillaume Joseph	ja				15.0	1.0	1798.0	nee	Wanne	3.0	12.0	1868.0	nee	Saint-Josse-ten-Noode	adelstitel: 1816	2			2		1	89			1823	1.0	7.0	1826			lid geworden als plaatsvervanger van B.J.M. de Menten de Horne, overleden	3		223.0			5.0	53 (1899) 2567							
96	98		Lamberts de Cortenbach				Werner	nee				1.0	8.0	1775.0	nee	Herve	1.0	9.0	1849.0	nee	Sint Truiden		2			2		1	89			1827			1831			gekozen op 26-7-1826 omdat de reguliere verkiezing van 1-6-1826 ongeldig was verklaard	3		223.0			5.0	30 (1876) 168							
97	99		Engelen				J. Bernard	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1818			benoemd 20-2-1816; bij kb van 26-2-1818 werd bepaald dat Sittard nog maar een vertegenwoordiger had	3		51.0											
98	100		Schmitz				Jan Anton	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1827			benoemd 20-2-1816	3		51.0											
99	101		Collaert	de			Marie Joseph Ferdinand Gerard	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1820			benoemd 20-2-1816	3		224.0											
100	102		Maesen	van der			Paul Eustache Arnold Joseph	nee				27.0	8.0	1754.0	nee		10.0	11.0	1836.0	nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1819			benoemd 20-2-1816	3		224.0			5.0	24 (1870) 325							
101	103		Rubens				Gerard Arnold Alexander	nee							nee					nee			2			2		1	89	6.0	7.0	1819	1.0	7.0	1829				3		224.0											
102	104		Saren	de			Jean Philippe Joseph	nee				30.0	5.0	1778.0	nee	Luik				nee			2			2		1	89	4.0	7.0	1820	1.0	7.0	1826				3		224.0			5.0	34 (1880) 287							
103	105		Julliot				Lodewijk Juliaan Clemens	nee							nee					nee			2			2		1	89	7.0	7.0	1829			1835				3		224.0											
104	106		Dousborgh	van			Pieter	nee							nee					nee			2			2		1	89	18.0	3.0	1816	1.0	7.0	1826			benoemd 20-2-1816	3		58.0											
105	107		Bloemarts				Hendrik Godfried Karel Joseph	nee							nee					nee			2			2		1	89			1819			1833				3		211.0										Bloemaerts	
