	IDlokaal	lokaal	volgnummer
0	1	Ridderschap van Holland	1
1	2	Dordrecht	2
2	3	Haarlem	3
3	4	Delft	4
4	5	Leiden	5
5	6	Amsterdam	6
6	7	Gouda	7
7	8	Rotterdam	8
8	9	Gorinchem	9
9	10	Schiedam	10
10	11	Schoonhoven	11
11	12	Den Briel	12
12	13	Alkmaar	13
13	14	Hoorn	14
14	15	Enkhuizen	15
15	16	Edam	16
16	17	Monnickendam	17
17	18	Medemblik	18
18	19	Purmerend	19
19	20	Middelburg	20
20	21	Zierikzee	21
21	22	Goes	22
22	23	Tholen	23
23	24	Vlissingen	24
24	25	Veere	25
25	26	Leeuwarden	0
26	27	Eerste Edele	0
27	28	Deventer	0
28	29	Kampen	0
29	30	Zwolle	0
30	31	Ridderschap van Overijssel	0
31	32	GeÃ«ligeerden van Utrecht	0
32	33	Ridderschap van Utrecht	0
33	34	Utrecht	0
34	35	Montfoort	0
35	36	Amersfoort	0
36	37	Wijk bij Duurstede	0
37	38	Rhenen	0
38	42	Nijmegen	0
39	43	Doesburg	0
40	44	Groenlo	0
41	45	Arnhem	0
42	47	Harderwijk	0
43	48	Tiel	0
44	49	Doetinchem	0
45	50	Hattem	0
46	51	Zutphen	0
47	52	Zaltbommel	0
48	53	Lochem	0
49	54	Wageningen	0
50	55	Elburg	0
51	39	Ridderschap van het Kwartier Nijmegen	0
52	40	Ridderschap van het Kwartier Zutphen	0
53	41	Ridderschap van het Kwartier Veluwe	0
